epoch,phase,loss,accuracy
1,train,2.956324,0.120141
1,val,2.771682,0.173196
2,train,2.799870,0.155919
2,val,2.575228,0.226804
3,train,2.709842,0.188604
3,val,2.417126,0.348454
4,train,2.638692,0.207597
4,val,2.323103,0.301031
5,train,2.599177,0.223498
5,val,2.211172,0.379381
6,train,2.563571,0.244700
6,val,2.155103,0.422680
7,train,2.495020,0.250442
7,val,2.119195,0.362887
8,train,2.459136,0.264576
8,val,2.103395,0.437113
9,train,2.430444,0.283569
9,val,2.022597,0.435052
10,train,2.425299,0.267668
10,val,1.981094,0.426804
11,train,2.400420,0.272968
11,val,1.954072,0.472165
12,train,2.383877,0.281802
12,val,1.913944,0.509278
13,train,2.367791,0.289753
13,val,1.908632,0.480412
14,train,2.344536,0.312279
14,val,1.888123,0.501031
15,train,2.346293,0.285777
15,val,1.872298,0.521649
16,train,2.359635,0.295936
16,val,1.876369,0.505155
17,train,2.320912,0.314488
17,val,1.864792,0.513402
18,train,2.312222,0.304770
18,val,1.854897,0.519588
19,train,2.311121,0.311837
19,val,1.852877,0.513402
20,train,2.321173,0.306979
20,val,1.864793,0.517526
21,train,2.243906,0.325972
21,val,1.660821,0.558763
22,train,2.174106,0.357774
22,val,1.499858,0.597938
23,train,2.141625,0.358657
23,val,1.398687,0.626804
24,train,2.046786,0.394876
24,val,1.320559,0.647423
25,train,2.023296,0.402385
25,val,1.237312,0.665979
26,train,1.974345,0.401060
26,val,1.183180,0.686598
27,train,1.937254,0.423145
27,val,1.136628,0.696907
28,train,1.906347,0.432420
28,val,1.110840,0.694845
29,train,1.907712,0.428004
29,val,1.050198,0.719588
30,train,1.797105,0.464223
30,val,1.045804,0.715464
31,train,1.838034,0.450972
31,val,1.010244,0.713402
32,train,1.766317,0.479240
32,val,0.977511,0.734021
33,train,1.774625,0.474823
33,val,0.966436,0.729897
34,train,1.773755,0.478799
34,val,0.963092,0.738144
35,train,1.716993,0.491166
35,val,0.944024,0.746392
36,train,1.753257,0.464664
36,val,0.941250,0.748454
37,train,1.729516,0.474382
37,val,0.932160,0.746392
38,train,1.752001,0.485866
38,val,0.942976,0.740206
39,train,1.730816,0.489399
39,val,0.925493,0.756701
40,train,1.767653,0.475265
40,val,0.930172,0.752577
0,test,0.933401,0.753086
